Subject;Lextale;Num_Mistakes;Target;Outcome;Language
84;65;0;Non-word;Non-lexical;L2
84;65;1;Word;Lexical;L1
84;65;1;Word;Lexical;L2
84;65;0;Word;Non-lexical;L1
84;65;0;Word;Non-lexical;L2
85;83,75;1;Non-word;Lexical;L2
85;83,75;0;Non-word;Lexical;L1
85;83,75;0;Non-word;Non-lexical;L1
85;83,75;1;Non-word;Non-lexical;L2
85;83,75;0;Word;Lexical;L2
85;83,75;0;Word;Lexical;L1
85;83,75;0;Word;Non-lexical;L1
85;83,75;0;Word;Non-lexical;L2
86;88,75;1;Non-word;Lexical;L1
86;88,75;1;Non-word;Lexical;L2
86;88,75;1;Non-word;Non-lexical;L1
86;88,75;0;Non-word;Non-lexical;L2
86;88,75;0;Word;Lexical;L1
86;88,75;0;Word;Lexical;L2
86;88,75;0;Word;Non-lexical;L1
86;88,75;0;Word;Non-lexical;L2
87;66,25;0;Non-word;Lexical;L1
87;66,25;0;Non-word;Lexical;L2
87;66,25;0;Non-word;Non-lexical;L1
87;66,25;0;Non-word;Non-lexical;L2
87;66,25;1;Word;Lexical;L1
87;66,25;1;Word;Lexical;L2
87;66,25;0;Word;Non-lexical;L2
87;66,25;1;Word;Non-lexical;L1
88;55;1;Non-word;Lexical;L1
88;55;1;Non-word;Lexical;L2
88;55;0;Non-word;Non-lexical;L1
88;55;0;Non-word;Non-lexical;L2
88;55;1;Word;Lexical;L1
88;55;1;Word;Lexical;L2
88;55;0;Word;Non-lexical;L2
88;55;1;Word;Non-lexical;L1
89;66,25;0;Non-word;Lexical;L1
89;66,25;0;Non-word;Lexical;L2
89;66,25;0;Non-word;Non-lexical;L1
89;66,25;0;Non-word;Non-lexical;L2
89;66,25;0;Word;Lexical;L2
89;66,25;0;Word;Lexical;L1
89;66,25;0;Word;Non-lexical;L2
89;66,25;1;Word;Non-lexical;L1
90;77,5;0;Non-word;Lexical;L2
90;77,5;0;Non-word;Lexical;L1
90;77,5;0;Non-word;Non-lexical;L1
90;77,5;0;Non-word;Non-lexical;L2
90;77,5;0;Word;Lexical;L1
90;77,5;0;Word;Lexical;L2
90;77,5;0;Word;Non-lexical;L1
90;77,5;0;Word;Non-lexical;L2
91;87,5;0;Non-word;Lexical;L1
91;87,5;0;Non-word;Lexical;L2
91;87,5;0;Non-word;Non-lexical;L1
91;87,5;0;Non-word;Non-lexical;L2
91;87,5;0;Word;Lexical;L1
91;87,5;0;Word;Lexical;L2
91;87,5;0;Word;Non-lexical;L1
91;87,5;0;Word;Non-lexical;L2
92;85;1;Non-word;Lexical;L1
92;85;1;Non-word;Lexical;L2
92;85;0;Non-word;Non-lexical;L1
92;85;0;Non-word;Non-lexical;L2
92;85;0;Word;Lexical;L1
92;85;0;Word;Lexical;L2
92;85;0;Word;Non-lexical;L1
92;85;0;Word;Non-lexical;L2
93;91,25;0;Non-word;Lexical;L1
93;91,25;0;Non-word;Lexical;L2
93;91,25;0;Non-word;Non-lexical;L1
93;91,25;0;Non-word;Non-lexical;L2
93;91,25;0;Word;Lexical;L1
93;91,25;0;Word;Lexical;L2
93;91,25;0;Word;Non-lexical;L1
93;91,25;0;Word;Non-lexical;L2
94;73,75;2;Non-word;Lexical;L1
94;73,75;0;Non-word;Lexical;L2
94;73,75;1;Non-word;Non-lexical;L1
94;73,75;0;Non-word;Non-lexical;L2
94;73,75;0;Word;Lexical;L1
94;73,75;0;Word;Lexical;L2
94;73,75;0;Word;Non-lexical;L1
94;73,75;0;Word;Non-lexical;L2
95;82,5;0;Non-word;Lexical;L1
95;82,5;0;Non-word;Lexical;L2
95;82,5;0;Non-word;Non-lexical;L1
95;82,5;0;Non-word;Non-lexical;L2
95;82,5;0;Word;Lexical;L1
95;82,5;1;Word;Lexical;L2
95;82,5;0;Word;Non-lexical;L1
95;82,5;0;Word;Non-lexical;L2
96;85;1;Non-word;Lexical;L2
96;85;0;Non-word;Lexical;L1
96;85;0;Non-word;Non-lexical;L1
96;85;0;Non-word;Non-lexical;L2
96;85;2;Word;Lexical;L1
96;85;1;Word;Lexical;L2
96;85;0;Word;Non-lexical;L1
96;85;0;Word;Non-lexical;L2
