Subject;Lextale;Num_Mistakes;Experiment;Outcome;Language
47;78,75;1;1;Lexical;L1
47;78,75;0;1;Non-lexical;L1
47;78,75;0;1;Lexical;L2
47;78,75;2;1;Non-lexical;L2
48;71,25;0;1;Lexical;L1
48;71,25;0;1;Non-lexical;L1
48;71,25;0;1;Lexical;L2
48;71,25;0;1;Non-lexical;L2
49;;0;1;Lexical;L1
49;;0;1;Non-lexical;L1
49;;0;1;Lexical;L2
49;;1;1;Non-lexical;L2
50;;0;1;Lexical;L1
50;;0;1;Non-lexical;L1
50;;0;1;Lexical;L2
50;;0;1;Non-lexical;L2
51;;2;1;Lexical;L1
51;;1;1;Non-lexical;L1
51;;0;1;Lexical;L2
51;;1;1;Non-lexical;L2
52;;0;1;Lexical;L1
52;;0;1;Non-lexical;L1
52;;1;1;Lexical;L2
52;;0;1;Non-lexical;L2
54;;0;1;Lexical;L1
54;;0;1;Non-lexical;L1
54;;0;1;Lexical;L2
54;;0;1;Non-lexical;L2
55;;1;1;Lexical;L1
55;;0;1;Non-lexical;L1
55;;0;1;Lexical;L2
55;;0;1;Non-lexical;L2
57;;1;1;Lexical;L1
57;;0;1;Non-lexical;L1
57;;0;1;Lexical;L2
57;;1;1;Non-lexical;L2
58;;1;1;Lexical;L1
58;;0;1;Non-lexical;L1
58;;0;1;Lexical;L2
58;;0;1;Non-lexical;L2
59;;0;1;Lexical;L1
59;;0;1;Non-lexical;L1
59;;0;1;Lexical;L2
59;;0;1;Non-lexical;L2
60;;2;1;Lexical;L1
60;;0;1;Non-lexical;L1
60;;0;1;Lexical;L2
60;;0;1;Non-lexical;L2
61;;0;1;Lexical;L1
61;;0;1;Non-lexical;L1
61;;0;1;Lexical;L2
61;;0;1;Non-lexical;L2
62;;0;1;Lexical;L1
62;;0;1;Non-lexical;L1
62;;0;1;Lexical;L2
62;;0;1;Non-lexical;L2
63;;0;1;Lexical;L1
63;;0;1;Non-lexical;L1
63;;0;1;Lexical;L2
63;;1;1;Non-lexical;L2
64;;0;1;Lexical;L1
64;;0;1;Non-lexical;L1
64;;0;1;Lexical;L2
64;;0;1;Non-lexical;L2
65;;1;1;Lexical;L1
65;;0;1;Non-lexical;L1
65;;0;1;Lexical;L2
65;;0;1;Non-lexical;L2
66;;0;1;Lexical;L1
66;;0;1;Non-lexical;L1
66;;0;1;Lexical;L2
66;;1;1;Non-lexical;L2
67;;0;1;Lexical;L1
67;;1;1;Non-lexical;L1
67;;0;1;Lexical;L2
67;;0;1;Non-lexical;L2
68;;0;1;Lexical;L1
68;;0;1;Non-lexical;L1
68;;0;1;Lexical;L2
68;;0;1;Non-lexical;L2
69;;1;1;Lexical;L1
69;;0;1;Non-lexical;L1
69;;0;1;Lexical;L2
69;;0;1;Non-lexical;L2
70;;1;1;Lexical;L1
70;;0;1;Non-lexical;L1
70;;2;1;Lexical;L2
70;;0;1;Non-lexical;L2
71;;1;1;Lexical;L1
71;;0;1;Non-lexical;L1
71;;0;1;Lexical;L2
71;;0;1;Non-lexical;L2
72;;0;1;Lexical;L1
72;;1;1;Non-lexical;L1
72;;0;1;Lexical;L2
72;;0;1;Non-lexical;L2
73;;1;1;Lexical;L1
73;;0;1;Non-lexical;L1
73;;0;1;Lexical;L2
73;;0;1;Non-lexical;L2
74;;0;1;Lexical;L1
74;;0;1;Non-lexical;L1
74;;1;1;Lexical;L2
74;;0;1;Non-lexical;L2
75;;0;1;Lexical;L1
75;;0;1;Non-lexical;L1
75;;1;1;Lexical;L2
75;;0;1;Non-lexical;L2
76;;2;1;Lexical;L1
76;;0;1;Non-lexical;L1
76;;1;1;Lexical;L2
76;;1;1;Non-lexical;L2
77;;0;1;Lexical;L1
77;;0;1;Non-lexical;L1
77;;0;1;Lexical;L2
77;;0;1;Non-lexical;L2
78;;0;1;Lexical;L1
78;;0;1;Non-lexical;L1
78;;0;1;Lexical;L2
78;;0;1;Non-lexical;L2
79;;1;1;Lexical;L1
79;;0;1;Non-lexical;L1
79;;0;1;Lexical;L2
79;;1;1;Non-lexical;L2
80;;2;1;Lexical;L1
80;;0;1;Non-lexical;L1
80;;0;1;Lexical;L2
80;;0;1;Non-lexical;L2
81;;1;1;Lexical;L1
81;;0;1;Non-lexical;L1
81;;0;1;Lexical;L2
81;;0;1;Non-lexical;L2
83;;2;1;Lexical;L1
83;;1;1;Non-lexical;L1
83;;0;1;Lexical;L2
83;;0;1;Non-lexical;L2
84;;1;1;Lexical;L1
84;;1;1;Non-lexical;L1
84;;0;1;Lexical;L2
84;;1;1;Non-lexical;L2
85;;0;1;Lexical;L1
85;;0;1;Non-lexical;L1
85;;0;1;Lexical;L2
85;;0;1;Non-lexical;L2
86;;3;1;Lexical;L1
86;;0;1;Non-lexical;L1
86;;0;1;Lexical;L2
86;;0;1;Non-lexical;L2
87;;1;1;Lexical;L1
87;;0;1;Non-lexical;L1
87;;0;1;Lexical;L2
87;;0;1;Non-lexical;L2
88;;0;1;Lexical;L1
88;;1;1;Non-lexical;L1
88;;1;1;Lexical;L2
88;;0;1;Non-lexical;L2
89;;0;1;Lexical;L1
89;;0;1;Non-lexical;L1
89;;0;1;Lexical;L2
89;;0;1;Non-lexical;L2
90;;0;1;Lexical;L1
90;;0;1;Non-lexical;L1
90;;0;1;Lexical;L2
90;;0;1;Non-lexical;L2
92;;0;1;Lexical;L1
92;;0;1;Non-lexical;L1
92;;1;1;Lexical;L2
92;;0;1;Non-lexical;L2
93;;0;1;Lexical;L1
93;;0;1;Non-lexical;L1
93;;0;1;Lexical;L2
93;;0;1;Non-lexical;L2
95;;0;1;Lexical;L1
95;;0;1;Non-lexical;L1
95;;0;1;Lexical;L2
95;;0;1;Non-lexical;L2
96;;0;1;Lexical;L1
96;;0;1;Non-lexical;L1
96;;0;1;Lexical;L2
96;;1;1;Non-lexical;L2
97;66,25;0;2;Lexical;L1
97;66,25;0;2;Lexical;L2
97;66,25;0;2;Non-lexical;L1
97;66,25;0;2;Non-lexical;L2
98;80;0;2;Lexical;L1
98;80;0;2;Lexical;L2
98;80;0;2;Non-lexical;L1
98;80;0;2;Non-lexical;L2
99;81,25;0;2;Lexical;L1
99;81,25;1;2;Lexical;L2
99;81,25;0;2;Non-lexical;L2
99;81,25;1;2;Non-lexical;L1
100;66,25;0;2;Lexical;L1
100;66,25;0;2;Lexical;L2
100;66,25;0;2;Non-lexical;L1
100;66,25;1;2;Non-lexical;L2
101;75;0;2;Lexical;L2
101;75;1;2;Lexical;L1
101;75;0;2;Non-lexical;L1
101;75;0;2;Non-lexical;L2
102;58,75;0;2;Lexical;L1
102;58,75;1;2;Lexical;L2
102;58,75;0;2;Non-lexical;L1
102;58,75;0;2;Non-lexical;L2
103;88,75;0;2;Lexical;L1
103;88,75;1;2;Lexical;L2
103;88,75;0;2;Non-lexical;L1
103;88,75;0;2;Non-lexical;L2
104;93,75;0;2;Lexical;L1
104;93,75;0;2;Lexical;L2
104;93,75;0;2;Non-lexical;L1
104;93,75;0;2;Non-lexical;L2
105;55;0;2;Lexical;L1
105;55;0;2;Lexical;L2
105;55;0;2;Non-lexical;L1
105;55;2;2;Non-lexical;L2
106;65;0;2;Lexical;L1
106;65;0;2;Lexical;L2
106;65;0;2;Non-lexical;L1
106;65;0;2;Non-lexical;L2
107;75;1;2;Lexical;L1
107;75;2;2;Lexical;L2
107;75;0;2;Non-lexical;L1
107;75;0;2;Non-lexical;L2
108;86,25;0;2;Lexical;L1
108;86,25;0;2;Lexical;L2
108;86,25;0;2;Non-lexical;L1
108;86,25;1;2;Non-lexical;L2
109;90;0;2;Lexical;L1
109;90;0;2;Lexical;L2
109;90;1;2;Non-lexical;L2
109;90;2;2;Non-lexical;L1
110;53,75;0;2;Lexical;L1
110;53,75;0;2;Lexical;L2
110;53,75;0;2;Non-lexical;L1
110;53,75;0;2;Non-lexical;L2
111;81,25;0;2;Lexical;L1
111;81,25;0;2;Lexical;L2
111;81,25;0;2;Non-lexical;L1
111;81,25;0;2;Non-lexical;L2
112;95;0;2;Lexical;L1
112;95;0;2;Lexical;L2
112;95;0;2;Non-lexical;L1
112;95;0;2;Non-lexical;L2
113;73,75;0;2;Lexical;L1
113;73,75;1;2;Lexical;L2
